,realtime_start,date,value
0,1980-02-08 00:00:00,1959-01-01 00:00:00,285.5
1,1981-06-26 00:00:00,1959-01-01 00:00:00,286.0
2,1982-02-05 00:00:00,1959-01-01 00:00:00,286.5
3,1984-02-16 00:00:00,1959-01-01 00:00:00,286.6
4,1988-02-18 00:00:00,1959-01-01 00:00:00,286.7
5,1996-02-08 00:00:00,1959-01-01 00:00:00,286.6
6,1980-02-08 00:00:00,1959-02-01 00:00:00,286.4
7,1981-06-26 00:00:00,1959-02-01 00:00:00,286.8
8,1982-02-05 00:00:00,1959-02-01 00:00:00,287.7
9,1984-02-16 00:00:00,1959-02-01 00:00:00,287.8
10,1996-02-08 00:00:00,1959-02-01 00:00:00,287.7
11,1980-02-08 00:00:00,1959-03-01 00:00:00,287.9
12,1981-06-26 00:00:00,1959-03-01 00:00:00,288.4
13,1982-02-05 00:00:00,1959-03-01 00:00:00,289.2
14,1984-02-16 00:00:00,1959-03-01 00:00:00,289.1
15,1996-02-08 00:00:00,1959-03-01 00:00:00,289.2
16,1980-02-08 00:00:00,1959-04-01 00:00:00,288.9
17,1981-06-26 00:00:00,1959-04-01 00:00:00,289.3
18,1982-02-05 00:00:00,1959-04-01 00:00:00,290.0
19,1983-02-14 00:00:00,1959-04-01 00:00:00,290.1
20,1984-02-16 00:00:00,1959-04-01 00:00:00,290.2
21,1993-02-04 00:00:00,1959-04-01 00:00:00,290.1
22,1980-02-08 00:00:00,1959-05-01 00:00:00,291.3
23,1981-06-26 00:00:00,1959-05-01 00:00:00,291.7
24,1982-02-05 00:00:00,1959-05-01 00:00:00,292.3
25,1996-02-08 00:00:00,1959-05-01 00:00:00,292.2
26,1980-02-08 00:00:00,1959-06-01 00:00:00,292.7
27,1981-06-26 00:00:00,1959-06-01 00:00:00,293.1
28,1982-02-05 00:00:00,1959-06-01 00:00:00,294.0
29,1983-02-14 00:00:00,1959-06-01 00:00:00,294.1
30,1984-02-16 00:00:00,1959-06-01 00:00:00,294.0
31,1993-02-04 00:00:00,1959-06-01 00:00:00,293.9
32,1996-02-08 00:00:00,1959-06-01 00:00:00,294.1
33,1980-02-08 00:00:00,1959-07-01 00:00:00,294.1
34,1981-06-26 00:00:00,1959-07-01 00:00:00,294.5
35,1982-02-05 00:00:00,1959-07-01 00:00:00,295.2
36,1983-02-14 00:00:00,1959-07-01 00:00:00,295.3
37,1984-02-16 00:00:00,1959-07-01 00:00:00,295.4
38,1988-02-18 00:00:00,1959-07-01 00:00:00,295.3
39,1996-02-08 00:00:00,1959-07-01 00:00:00,295.2
40,1980-02-08 00:00:00,1959-08-01 00:00:00,295.3
41,1981-06-26 00:00:00,1959-08-01 00:00:00,295.7
42,1982-02-05 00:00:00,1959-08-01 00:00:00,296.4
43,1983-02-14 00:00:00,1959-08-01 00:00:00,296.5
44,1984-02-16 00:00:00,1959-08-01 00:00:00,296.4
45,1980-02-08 00:00:00,1959-09-01 00:00:00,295.4
46,1981-06-26 00:00:00,1959-09-01 00:00:00,295.8
47,1982-02-05 00:00:00,1959-09-01 00:00:00,296.8
48,1984-02-16 00:00:00,1959-09-01 00:00:00,296.5
49,1985-02-14 00:00:00,1959-09-01 00:00:00,293.5
50,1986-02-13 00:00:00,1959-09-01 00:00:00,296.5
51,1996-02-08 00:00:00,1959-09-01 00:00:00,296.7
52,1980-02-08 00:00:00,1959-10-01 00:00:00,295.4
53,1981-06-26 00:00:00,1959-10-01 00:00:00,295.8
54,1982-02-05 00:00:00,1959-10-01 00:00:00,296.5
55,1983-02-14 00:00:00,1959-10-01 00:00:00,296.6
56,1996-02-08 00:00:00,1959-10-01 00:00:00,296.5
57,1980-02-08 00:00:00,1959-11-01 00:00:00,296.1
58,1981-06-26 00:00:00,1959-11-01 00:00:00,296.5
59,1982-02-05 00:00:00,1959-11-01 00:00:00,297.1
60,1984-02-16 00:00:00,1959-11-01 00:00:00,297.2
61,1996-02-08 00:00:00,1959-11-01 00:00:00,297.1
62,1980-02-08 00:00:00,1959-12-01 00:00:00,296.7
63,1981-06-26 00:00:00,1959-12-01 00:00:00,297.1
64,1982-02-05 00:00:00,1959-12-01 00:00:00,297.7
65,1983-02-14 00:00:00,1959-12-01 00:00:00,297.8
66,1980-02-08 00:00:00,1960-01-01 00:00:00,296.9
67,1981-06-26 00:00:00,1960-01-01 00:00:00,297.4
68,1982-02-05 00:00:00,1960-01-01 00:00:00,298.1
69,1983-02-14 00:00:00,1960-01-01 00:00:00,298.2
70,1984-02-16 00:00:00,1960-01-01 00:00:00,298.3
71,1996-02-08 00:00:00,1960-01-01 00:00:00,298.2
72,1980-02-08 00:00:00,1960-02-01 00:00:00,296.9
73,1981-06-26 00:00:00,1960-02-01 00:00:00,297.4
74,1982-02-05 00:00:00,1960-02-01 00:00:00,298.5
75,1984-02-16 00:00:00,1960-02-01 00:00:00,298.6
76,1993-02-04 00:00:00,1960-02-01 00:00:00,298.5
77,1996-02-08 00:00:00,1960-02-01 00:00:00,298.4
78,1998-01-15 00:00:00,1960-02-01 00:00:00,298.5
79,2020-09-24 00:00:00,1960-02-01 00:00:00,298.4
80,1980-02-08 00:00:00,1960-03-01 00:00:00,297.8
81,1981-06-26 00:00:00,1960-03-01 00:00:00,298.3
82,1982-02-05 00:00:00,1960-03-01 00:00:00,299.4
83,1984-02-16 00:00:00,1960-03-01 00:00:00,299.3
84,1993-02-04 00:00:00,1960-03-01 00:00:00,299.2
85,1996-02-08 00:00:00,1960-03-01 00:00:00,299.4
86,2020-09-24 00:00:00,1960-03-01 00:00:00,299.3
87,1980-02-08 00:00:00,1960-04-01 00:00:00,298.8
88,1981-06-26 00:00:00,1960-04-01 00:00:00,299.2
89,1982-02-05 00:00:00,1960-04-01 00:00:00,300.1
90,1996-02-08 00:00:00,1960-04-01 00:00:00,300.0
91,1998-01-15 00:00:00,1960-04-01 00:00:00,300.1
92,1980-02-08 00:00:00,1960-05-01 00:00:00,299.8
93,1981-06-26 00:00:00,1960-05-01 00:00:00,300.3
94,1982-02-05 00:00:00,1960-05-01 00:00:00,301.0
95,1996-02-08 00:00:00,1960-05-01 00:00:00,300.9
96,1998-11-19 00:00:00,1960-05-01 00:00:00,301.0
97,2002-05-09 00:00:00,1960-05-01 00:00:00,300.9
98,1980-02-08 00:00:00,1960-06-01 00:00:00,301.0
99,1981-06-26 00:00:00,1960-06-01 00:00:00,301.4
100,1982-02-05 00:00:00,1960-06-01 00:00:00,302.4
101,1984-02-16 00:00:00,1960-06-01 00:00:00,302.2
102,1996-02-08 00:00:00,1960-06-01 00:00:00,302.3
103,1980-02-08 00:00:00,1960-07-01 00:00:00,303.1
104,1981-06-26 00:00:00,1960-07-01 00:00:00,303.5
105,1982-02-05 00:00:00,1960-07-01 00:00:00,304.2
106,1984-02-16 00:00:00,1960-07-01 00:00:00,304.3
107,1993-02-04 00:00:00,1960-07-01 00:00:00,304.2
108,1996-02-08 00:00:00,1960-07-01 00:00:00,304.1
109,1980-02-08 00:00:00,1960-08-01 00:00:00,305.7
110,1981-06-26 00:00:00,1960-08-01 00:00:00,306.1
111,1982-02-05 00:00:00,1960-08-01 00:00:00,307.0
112,1983-02-14 00:00:00,1960-08-01 00:00:00,306.9
113,1993-02-04 00:00:00,1960-08-01 00:00:00,306.8
114,1996-02-08 00:00:00,1960-08-01 00:00:00,306.9
115,1980-02-08 00:00:00,1960-09-01 00:00:00,307.1
116,1981-06-26 00:00:00,1960-09-01 00:00:00,307.5
117,1982-02-05 00:00:00,1960-09-01 00:00:00,308.5
118,1984-02-16 00:00:00,1960-09-01 00:00:00,308.2
119,1996-02-08 00:00:00,1960-09-01 00:00:00,308.4
120,1998-11-19 00:00:00,1960-09-01 00:00:00,308.5
121,2002-05-09 00:00:00,1960-09-01 00:00:00,308.4
122,1980-02-08 00:00:00,1960-10-01 00:00:00,308.4
123,1981-06-26 00:00:00,1960-10-01 00:00:00,308.8
124,1982-02-05 00:00:00,1960-10-01 00:00:00,309.5
125,1984-02-16 00:00:00,1960-10-01 00:00:00,309.6
126,1996-02-08 00:00:00,1960-10-01 00:00:00,309.5
127,1980-02-08 00:00:00,1960-11-01 00:00:00,309.8
128,1981-06-26 00:00:00,1960-11-01 00:00:00,310.3
129,1982-02-05 00:00:00,1960-11-01 00:00:00,310.9
130,1984-02-16 00:00:00,1960-11-01 00:00:00,311.0
131,1996-02-08 00:00:00,1960-11-01 00:00:00,310.9
132,1980-02-08 00:00:00,1960-12-01 00:00:00,311.2
133,1981-06-26 00:00:00,1960-12-01 00:00:00,311.7
134,1982-02-05 00:00:00,1960-12-01 00:00:00,312.3
135,1988-02-18 00:00:00,1960-12-01 00:00:00,312.4
136,1993-02-04 00:00:00,1960-12-01 00:00:00,312.3
137,1996-02-08 00:00:00,1960-12-01 00:00:00,312.4
138,1980-02-08 00:00:00,1961-01-01 00:00:00,312.6
139,1981-06-26 00:00:00,1961-01-01 00:00:00,313.1
140,1982-02-05 00:00:00,1961-01-01 00:00:00,314.0
141,1983-02-14 00:00:00,1961-01-01 00:00:00,314.1
142,1984-02-16 00:00:00,1961-01-01 00:00:00,314.2
143,1996-02-08 00:00:00,1961-01-01 00:00:00,314.1
144,1980-02-08 00:00:00,1961-02-01 00:00:00,315.0
145,1981-06-26 00:00:00,1961-02-01 00:00:00,315.4
146,1982-02-05 00:00:00,1961-02-01 00:00:00,316.6
147,1996-02-08 00:00:00,1961-02-01 00:00:00,316.5
148,1980-02-08 00:00:00,1961-03-01 00:00:00,316.7
149,1981-06-26 00:00:00,1961-03-01 00:00:00,317.2
150,1982-02-05 00:00:00,1961-03-01 00:00:00,318.4
151,1983-02-14 00:00:00,1961-03-01 00:00:00,318.3
152,1984-02-16 00:00:00,1961-03-01 00:00:00,318.2
153,1993-02-04 00:00:00,1961-03-01 00:00:00,318.1
154,1996-02-08 00:00:00,1961-03-01 00:00:00,318.3
155,1980-02-08 00:00:00,1961-04-01 00:00:00,318.5
156,1981-06-26 00:00:00,1961-04-01 00:00:00,319.0
157,1982-02-05 00:00:00,1961-04-01 00:00:00,319.9
158,1984-02-16 00:00:00,1961-04-01 00:00:00,320.0
159,1993-02-04 00:00:00,1961-04-01 00:00:00,319.9
160,1980-02-08 00:00:00,1961-05-01 00:00:00,320.9
161,1981-06-26 00:00:00,1961-05-01 00:00:00,321.4
162,1982-02-05 00:00:00,1961-05-01 00:00:00,322.3
163,1996-02-08 00:00:00,1961-05-01 00:00:00,322.2
164,1980-02-08 00:00:00,1961-06-01 00:00:00,322.8
165,1981-06-26 00:00:00,1961-06-01 00:00:00,323.2
166,1982-02-05 00:00:00,1961-06-01 00:00:00,324.3
167,1984-02-16 00:00:00,1961-06-01 00:00:00,324.2
168,1993-02-04 00:00:00,1961-06-01 00:00:00,324.1
169,1996-02-08 00:00:00,1961-06-01 00:00:00,324.3
170,1980-02-08 00:00:00,1961-07-01 00:00:00,324.3
171,1981-06-26 00:00:00,1961-07-01 00:00:00,324.8
172,1982-02-05 00:00:00,1961-07-01 00:00:00,325.6
173,1984-02-16 00:00:00,1961-07-01 00:00:00,325.7
174,1996-02-08 00:00:00,1961-07-01 00:00:00,325.6
175,1980-02-08 00:00:00,1961-08-01 00:00:00,326.2
176,1981-06-26 00:00:00,1961-08-01 00:00:00,326.6
177,1982-02-05 00:00:00,1961-08-01 00:00:00,327.7
178,1983-02-14 00:00:00,1961-08-01 00:00:00,327.6
179,1980-02-08 00:00:00,1961-09-01 00:00:00,328.0
180,1981-06-26 00:00:00,1961-09-01 00:00:00,328.4
181,1982-02-05 00:00:00,1961-09-01 00:00:00,329.6
182,1984-02-16 00:00:00,1961-09-01 00:00:00,329.4
183,1993-02-04 00:00:00,1961-09-01 00:00:00,329.3
184,1996-02-08 00:00:00,1961-09-01 00:00:00,329.5
185,1980-02-08 00:00:00,1961-10-01 00:00:00,329.7
186,1981-06-26 00:00:00,1961-10-01 00:00:00,330.1
187,1982-02-05 00:00:00,1961-10-01 00:00:00,331.2
188,1996-02-08 00:00:00,1961-10-01 00:00:00,331.1
189,1980-02-08 00:00:00,1961-11-01 00:00:00,331.9
190,1981-06-26 00:00:00,1961-11-01 00:00:00,332.3
191,1982-02-05 00:00:00,1961-11-01 00:00:00,333.4
192,1984-02-16 00:00:00,1961-11-01 00:00:00,333.5
193,1996-02-08 00:00:00,1961-11-01 00:00:00,333.4
194,1980-02-08 00:00:00,1961-12-01 00:00:00,333.9
195,1981-06-26 00:00:00,1961-12-01 00:00:00,334.1
196,1982-02-05 00:00:00,1961-12-01 00:00:00,335.5
197,1980-02-08 00:00:00,1962-01-01 00:00:00,336.2
198,1981-06-26 00:00:00,1962-01-01 00:00:00,336.7
199,1982-02-05 00:00:00,1962-01-01 00:00:00,337.5
200,1984-02-16 00:00:00,1962-01-01 00:00:00,337.6
201,1988-02-18 00:00:00,1962-01-01 00:00:00,337.7
202,1993-02-04 00:00:00,1962-01-01 00:00:00,337.6
203,1996-02-08 00:00:00,1962-01-01 00:00:00,337.5
204,1980-02-08 00:00:00,1962-02-01 00:00:00,338.9
205,1981-06-26 00:00:00,1962-02-01 00:00:00,339.3
206,1982-02-05 00:00:00,1962-02-01 00:00:00,340.2
207,1984-02-16 00:00:00,1962-02-01 00:00:00,340.3
208,1993-02-04 00:00:00,1962-02-01 00:00:00,340.2
209,1996-02-08 00:00:00,1962-02-01 00:00:00,340.1
210,1980-02-08 00:00:00,1962-03-01 00:00:00,341.7
211,1981-06-26 00:00:00,1962-03-01 00:00:00,342.1
212,1982-02-05 00:00:00,1962-03-01 00:00:00,343.2
213,1983-02-14 00:00:00,1962-03-01 00:00:00,343.1
214,1984-02-16 00:00:00,1962-03-01 00:00:00,343.0
215,1993-02-04 00:00:00,1962-03-01 00:00:00,342.9
216,1996-02-08 00:00:00,1962-03-01 00:00:00,343.1
217,1980-02-08 00:00:00,1962-04-01 00:00:00,344.1
218,1981-06-26 00:00:00,1962-04-01 00:00:00,344.5
219,1982-02-05 00:00:00,1962-04-01 00:00:00,345.5
220,1983-02-14 00:00:00,1962-04-01 00:00:00,345.6
221,1996-02-08 00:00:00,1962-04-01 00:00:00,345.5
222,1980-02-08 00:00:00,1962-05-01 00:00:00,346.1
223,1981-06-26 00:00:00,1962-05-01 00:00:00,346.6
224,1982-02-05 00:00:00,1962-05-01 00:00:00,347.5
225,1984-02-16 00:00:00,1962-05-01 00:00:00,347.6
226,1988-02-18 00:00:00,1962-05-01 00:00:00,347.5
227,1996-02-08 00:00:00,1962-05-01 00:00:00,347.4
228,1998-01-15 00:00:00,1962-05-01 00:00:00,347.5
229,1980-02-08 00:00:00,1962-06-01 00:00:00,347.6
230,1981-06-26 00:00:00,1962-06-01 00:00:00,348.1
231,1982-02-05 00:00:00,1962-06-01 00:00:00,349.3
232,1984-02-16 00:00:00,1962-06-01 00:00:00,349.2
233,1988-02-18 00:00:00,1962-06-01 00:00:00,349.1
234,1996-02-08 00:00:00,1962-06-01 00:00:00,349.3
235,1980-02-08 00:00:00,1962-07-01 00:00:00,349.5
236,1981-06-26 00:00:00,1962-07-01 00:00:00,349.9
237,1982-02-05 00:00:00,1962-07-01 00:00:00,350.9
238,1984-02-16 00:00:00,1962-07-01 00:00:00,351.0
239,1993-02-04 00:00:00,1962-07-01 00:00:00,350.9
240,1996-02-08 00:00:00,1962-07-01 00:00:00,350.8
241,1980-02-08 00:00:00,1962-08-01 00:00:00,351.3
242,1981-06-26 00:00:00,1962-08-01 00:00:00,351.8
243,1982-02-05 00:00:00,1962-08-01 00:00:00,352.9
244,1993-02-04 00:00:00,1962-08-01 00:00:00,352.8
245,1980-02-08 00:00:00,1962-09-01 00:00:00,353.2
246,1981-06-26 00:00:00,1962-09-01 00:00:00,353.7
247,1982-02-05 00:00:00,1962-09-01 00:00:00,354.9
248,1984-02-16 00:00:00,1962-09-01 00:00:00,354.7
249,1993-02-04 00:00:00,1962-09-01 00:00:00,354.6
250,1996-02-08 00:00:00,1962-09-01 00:00:00,354.9
251,1980-02-08 00:00:00,1962-10-01 00:00:00,355.6
252,1981-06-26 00:00:00,1962-10-01 00:00:00,356.1
253,1982-02-05 00:00:00,1962-10-01 00:00:00,357.2
254,1984-02-16 00:00:00,1962-10-01 00:00:00,357.3
255,1996-02-08 00:00:00,1962-10-01 00:00:00,357.2
256,1980-02-08 00:00:00,1962-11-01 00:00:00,358.4
257,1981-06-26 00:00:00,1962-11-01 00:00:00,358.9
258,1982-02-05 00:00:00,1962-11-01 00:00:00,359.9
259,1983-02-14 00:00:00,1962-11-01 00:00:00,359.8
260,1984-02-16 00:00:00,1962-11-01 00:00:00,359.9
261,1996-02-08 00:00:00,1962-11-01 00:00:00,359.8
262,1980-02-08 00:00:00,1962-12-01 00:00:00,361.1
263,1981-06-26 00:00:00,1962-12-01 00:00:00,361.7
264,1982-02-05 00:00:00,1962-12-01 00:00:00,362.8
265,1983-02-14 00:00:00,1962-12-01 00:00:00,362.7
266,1980-02-08 00:00:00,1963-01-01 00:00:00,363.7
267,1981-06-26 00:00:00,1963-01-01 00:00:00,364.2
268,1982-02-05 00:00:00,1963-01-01 00:00:00,365.2
269,1984-02-16 00:00:00,1963-01-01 00:00:00,365.4
270,1996-02-08 00:00:00,1963-01-01 00:00:00,365.2
271,1980-02-08 00:00:00,1963-02-01 00:00:00,366.3
272,1981-06-26 00:00:00,1963-02-01 00:00:00,366.8
273,1982-02-05 00:00:00,1963-02-01 00:00:00,368.1
274,1983-02-14 00:00:00,1963-02-01 00:00:00,367.9
275,1984-02-16 00:00:00,1963-02-01 00:00:00,368.0
276,1996-02-08 00:00:00,1963-02-01 00:00:00,367.9
277,1980-02-08 00:00:00,1963-03-01 00:00:00,369.0
278,1981-06-26 00:00:00,1963-03-01 00:00:00,369.5
279,1982-02-05 00:00:00,1963-03-01 00:00:00,370.9
280,1983-02-14 00:00:00,1963-03-01 00:00:00,370.7
281,1984-02-16 00:00:00,1963-03-01 00:00:00,370.5
282,1996-02-08 00:00:00,1963-03-01 00:00:00,370.7
283,1980-02-08 00:00:00,1963-04-01 00:00:00,371.5
284,1981-06-26 00:00:00,1963-04-01 00:00:00,372.1
285,1982-02-05 00:00:00,1963-04-01 00:00:00,373.3
286,1984-02-16 00:00:00,1963-04-01 00:00:00,373.4
287,1993-02-04 00:00:00,1963-04-01 00:00:00,373.3
288,1980-02-08 00:00:00,1963-05-01 00:00:00,374.6
289,1981-06-26 00:00:00,1963-05-01 00:00:00,375.1
290,1982-02-05 00:00:00,1963-05-01 00:00:00,376.1
291,1984-02-16 00:00:00,1963-05-01 00:00:00,376.2
292,1988-02-18 00:00:00,1963-05-01 00:00:00,376.1
293,1996-02-08 00:00:00,1963-05-01 00:00:00,376.0
294,1998-01-15 00:00:00,1963-05-01 00:00:00,376.1
295,1980-02-08 00:00:00,1963-06-01 00:00:00,376.5
296,1981-06-26 00:00:00,1963-06-01 00:00:00,377.1
297,1982-02-05 00:00:00,1963-06-01 00:00:00,378.5
298,1984-02-16 00:00:00,1963-06-01 00:00:00,378.3
299,1993-02-04 00:00:00,1963-06-01 00:00:00,378.2
300,1996-02-08 00:00:00,1963-06-01 00:00:00,378.4
301,1980-02-08 00:00:00,1963-07-01 00:00:00,379.5
302,1981-06-26 00:00:00,1963-07-01 00:00:00,380.1
303,1982-02-05 00:00:00,1963-07-01 00:00:00,381.2
304,1983-02-14 00:00:00,1963-07-01 00:00:00,381.1
305,1984-02-16 00:00:00,1963-07-01 00:00:00,381.3
306,1988-02-18 00:00:00,1963-07-01 00:00:00,381.2
307,1996-02-08 00:00:00,1963-07-01 00:00:00,381.1
308,1980-02-08 00:00:00,1963-08-01 00:00:00,382.1
309,1981-06-26 00:00:00,1963-08-01 00:00:00,382.6
310,1982-02-05 00:00:00,1963-08-01 00:00:00,383.7
311,1993-02-04 00:00:00,1963-08-01 00:00:00,383.6
312,1980-02-08 00:00:00,1963-09-01 00:00:00,384.1
313,1981-06-26 00:00:00,1963-09-01 00:00:00,384.6
314,1982-02-05 00:00:00,1963-09-01 00:00:00,386.1
315,1984-02-16 00:00:00,1963-09-01 00:00:00,385.8
316,1993-02-04 00:00:00,1963-09-01 00:00:00,385.7
317,1996-02-08 00:00:00,1963-09-01 00:00:00,386.0
318,1980-02-08 00:00:00,1963-10-01 00:00:00,386.6
319,1981-06-26 00:00:00,1963-10-01 00:00:00,387.2
320,1982-02-05 00:00:00,1963-10-01 00:00:00,388.4
321,1984-02-16 00:00:00,1963-10-01 00:00:00,388.5
322,1993-02-04 00:00:00,1963-10-01 00:00:00,388.4
323,1996-02-08 00:00:00,1963-10-01 00:00:00,388.3
324,1980-02-08 00:00:00,1963-11-01 00:00:00,389.9
325,1981-06-26 00:00:00,1963-11-01 00:00:00,390.5
326,1982-02-05 00:00:00,1963-11-01 00:00:00,391.7
327,1983-02-14 00:00:00,1963-11-01 00:00:00,391.5
328,1984-02-16 00:00:00,1963-11-01 00:00:00,391.6
329,1988-02-18 00:00:00,1963-11-01 00:00:00,391.7
330,1993-02-04 00:00:00,1963-11-01 00:00:00,391.6
331,1996-02-08 00:00:00,1963-11-01 00:00:00,391.5
332,1980-02-08 00:00:00,1963-12-01 00:00:00,391.4
333,1981-06-26 00:00:00,1963-12-01 00:00:00,392.0
334,1982-02-05 00:00:00,1963-12-01 00:00:00,393.4
335,1983-02-14 00:00:00,1963-12-01 00:00:00,393.2
336,1988-02-18 00:00:00,1963-12-01 00:00:00,393.3
337,1993-02-04 00:00:00,1963-12-01 00:00:00,393.2
338,1996-02-08 00:00:00,1963-12-01 00:00:00,393.3
339,1998-01-15 00:00:00,1963-12-01 00:00:00,393.2
340,1980-02-08 00:00:00,1964-01-01 00:00:00,393.6
341,1981-06-26 00:00:00,1964-01-01 00:00:00,394.2
342,1982-02-05 00:00:00,1964-01-01 00:00:00,395.4
343,1983-02-14 00:00:00,1964-01-01 00:00:00,395.3
344,1984-02-16 00:00:00,1964-01-01 00:00:00,395.5
345,1996-02-08 00:00:00,1964-01-01 00:00:00,395.2
346,1980-02-08 00:00:00,1964-02-01 00:00:00,396.0
347,1981-06-26 00:00:00,1964-02-01 00:00:00,396.6
348,1982-02-05 00:00:00,1964-02-01 00:00:00,397.9
349,1983-02-14 00:00:00,1964-02-01 00:00:00,397.7
350,1996-02-08 00:00:00,1964-02-01 00:00:00,397.6
351,1980-02-08 00:00:00,1964-03-01 00:00:00,397.8
352,1981-06-26 00:00:00,1964-03-01 00:00:00,398.4
353,1982-02-05 00:00:00,1964-03-01 00:00:00,400.1
354,1983-02-14 00:00:00,1964-03-01 00:00:00,399.8
355,1984-02-16 00:00:00,1964-03-01 00:00:00,399.6
356,1996-02-08 00:00:00,1964-03-01 00:00:00,399.8
357,1980-02-08 00:00:00,1964-04-01 00:00:00,399.9
358,1981-06-26 00:00:00,1964-04-01 00:00:00,400.5
359,1982-02-05 00:00:00,1964-04-01 00:00:00,401.9
360,1983-02-14 00:00:00,1964-04-01 00:00:00,401.7
361,1984-02-16 00:00:00,1964-04-01 00:00:00,401.8
362,1996-02-08 00:00:00,1964-04-01 00:00:00,401.7
363,1980-02-08 00:00:00,1964-05-01 00:00:00,402.8
364,1981-06-26 00:00:00,1964-05-01 00:00:00,403.4
365,1982-02-05 00:00:00,1964-05-01 00:00:00,404.4
366,1983-02-14 00:00:00,1964-05-01 00:00:00,404.3
367,1996-02-08 00:00:00,1964-05-01 00:00:00,404.2
368,1998-11-19 00:00:00,1964-05-01 00:00:00,404.3
369,2002-05-09 00:00:00,1964-05-01 00:00:00,404.2
370,1980-02-08 00:00:00,1964-06-01 00:00:00,405.2
371,1981-06-26 00:00:00,1964-06-01 00:00:00,405.7
372,1982-02-05 00:00:00,1964-06-01 00:00:00,407.2
373,1983-02-14 00:00:00,1964-06-01 00:00:00,407.1
374,1984-02-16 00:00:00,1964-06-01 00:00:00,406.9
375,1993-02-04 00:00:00,1964-06-01 00:00:00,406.8
376,1996-02-08 00:00:00,1964-06-01 00:00:00,407.1
377,1980-02-08 00:00:00,1964-07-01 00:00:00,408.4
378,1981-06-26 00:00:00,1964-07-01 00:00:00,409.0
379,1982-02-05 00:00:00,1964-07-01 00:00:00,410.3
380,1983-02-14 00:00:00,1964-07-01 00:00:00,410.2
381,1984-02-16 00:00:00,1964-07-01 00:00:00,410.3
382,1988-02-18 00:00:00,1964-07-01 00:00:00,410.2
383,1996-02-08 00:00:00,1964-07-01 00:00:00,410.1
384,1980-02-08 00:00:00,1964-08-01 00:00:00,411.9
385,1981-06-26 00:00:00,1964-08-01 00:00:00,412.5
386,1982-02-05 00:00:00,1964-08-01 00:00:00,413.7
387,1983-02-14 00:00:00,1964-08-01 00:00:00,413.5
388,1988-02-18 00:00:00,1964-08-01 00:00:00,413.4
389,1980-02-08 00:00:00,1964-09-01 00:00:00,414.9
390,1981-06-26 00:00:00,1964-09-01 00:00:00,415.5
391,1982-02-05 00:00:00,1964-09-01 00:00:00,417.1
392,1983-02-14 00:00:00,1964-09-01 00:00:00,416.9
393,1984-02-16 00:00:00,1964-09-01 00:00:00,416.6
394,1996-02-08 00:00:00,1964-09-01 00:00:00,416.9
395,1980-02-08 00:00:00,1964-10-01 00:00:00,417.4
396,1981-06-26 00:00:00,1964-10-01 00:00:00,418.0
397,1982-02-05 00:00:00,1964-10-01 00:00:00,419.3
398,1983-02-14 00:00:00,1964-10-01 00:00:00,419.1
399,1984-02-16 00:00:00,1964-10-01 00:00:00,419.3
400,1993-02-04 00:00:00,1964-10-01 00:00:00,419.2
401,1996-02-08 00:00:00,1964-10-01 00:00:00,419.1
402,1980-02-08 00:00:00,1964-11-01 00:00:00,420.4
403,1981-06-26 00:00:00,1964-11-01 00:00:00,421.0
404,1982-02-05 00:00:00,1964-11-01 00:00:00,422.3
405,1983-02-14 00:00:00,1964-11-01 00:00:00,422.1
406,1984-02-16 00:00:00,1964-11-01 00:00:00,422.2
407,1988-02-18 00:00:00,1964-11-01 00:00:00,422.3
408,1993-02-04 00:00:00,1964-11-01 00:00:00,422.2
409,1996-02-08 00:00:00,1964-11-01 00:00:00,422.0
410,1998-01-15 00:00:00,1964-11-01 00:00:00,422.1
411,2011-07-28 00:00:00,1964-11-01 00:00:00,422.0
412,1980-02-08 00:00:00,1964-12-01 00:00:00,422.8
413,1981-06-26 00:00:00,1964-12-01 00:00:00,423.4
414,1982-02-05 00:00:00,1964-12-01 00:00:00,425.1
415,1983-02-14 00:00:00,1964-12-01 00:00:00,424.7
416,1984-02-16 00:00:00,1964-12-01 00:00:00,424.8
417,1998-01-15 00:00:00,1964-12-01 00:00:00,424.7
418,1980-02-08 00:00:00,1965-01-01 00:00:00,425.8
419,1981-06-26 00:00:00,1965-01-01 00:00:00,426.5
420,1982-02-05 00:00:00,1965-01-01 00:00:00,427.8
421,1983-02-14 00:00:00,1965-01-01 00:00:00,427.5
422,1984-02-16 00:00:00,1965-01-01 00:00:00,427.8
423,1996-02-08 00:00:00,1965-01-01 00:00:00,427.5
424,1980-02-08 00:00:00,1965-02-01 00:00:00,428.6
425,1981-06-26 00:00:00,1965-02-01 00:00:00,429.2
426,1982-02-05 00:00:00,1965-02-01 00:00:00,430.8
427,1983-02-14 00:00:00,1965-02-01 00:00:00,430.5
428,1993-02-04 00:00:00,1965-02-01 00:00:00,430.4
429,1998-11-19 00:00:00,1965-02-01 00:00:00,430.5
430,2002-05-09 00:00:00,1965-02-01 00:00:00,430.4
431,1980-02-08 00:00:00,1965-03-01 00:00:00,431.1
432,1981-06-26 00:00:00,1965-03-01 00:00:00,431.8
433,1982-02-05 00:00:00,1965-03-01 00:00:00,433.6
434,1983-02-14 00:00:00,1965-03-01 00:00:00,433.3
435,1984-02-16 00:00:00,1965-03-01 00:00:00,433.1
436,1993-02-04 00:00:00,1965-03-01 00:00:00,433.0
